neighbourhood,price
Menilmontant,74.94225651942523
Buttes-Chaumont,82.69018240343348
Buttes-Montmartre,87.2094790659113
Reuilly,89.05840241145441
Popincourt,90.55945858846277
Gobelins,98.11018437225637
Observatoire,101.86680080482897
Batignolles-Monceau,102.61270207852193
Enclos-St-Laurent,102.96715643906656
Vaugirard,106.83133029423954
Opera,119.03864428254673
Pantheon,122.66214953271027
Temple,138.44682296975876
Hotel-de-Ville,144.47210953346857
Bourse,149.49680073126143
Luxembourg,155.63863863863864
Palais-Bourbon,156.8565782044043
Passy,161.14463452566096
Louvre,175.3799715909091
Elysee,210.53676470588235
